region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Liberia,99624.73982,102635.0251,108897.0639,113863.1822,115439.8157,118261.9676,121491.1018,124902.3603,128762.2718,133030.6878
Libya,206696.9549,211954.6757,215275.0706,219496.8583,226286.7571,231965.1266,237328.2353,242686.4236,247943.0742,253411.6683
Lithuania,163664.0119,161789.0037,160145.3334,158525.2674,156871.3539,155071.913,153390.7241,151562.628,149808.389,148010.4429
Luxembourg,19058.17423,19344.05734,19696.5909,20103.51999,20602.77132,21099.52033,21618.9586,22169.68273,22753.72307,23367.21378
Macedonia,55929.19403,56415.53881,56877.04567,57320.71151,57811.20946,58345.67303,58748.45764,59155.15672,59612.31278,59992.72369
Madagascar,515606.919,530963.4793,547520.1998,566102.5223,585075.7437,604661.1241,625044.8497,646367.8938,668736.3326,691919.2352
Malawi,307673.4511,314892.6436,323492.2562,334105.5265,345655.6974,358446.6555,372267.6055,387506.6165,403755.629,421090.2585
Malaysia,823517.3127,840489.7303,856963.1,874912.4453,895318.3062,917207.7524,939996.5742,963817.5693,988034.83,1013244.391
Maldives,9229.493579,9574.1006,9961.210652,10380.0253,10822.27135,11287.24887,11774.57963,12275.49658,12796.10542,13337.54245
Mali,286028.024,296595.487,307929.7948,318268.5146,328817.4465,342517.2251,357092.6837,372657.4637,388798.1088,406476.8561
Malta,15178.47476,15249.97384,15351.4507,15469.80974,15579.29005,15703.92204,15822.55214,15939.24564,16056.27979,16180.50547
Marshall Islands,1345.603078,1362.058234,1378.200656,1394.557737,1410.006314,1426.896398,1443.739034,1461.256045,1478.408738,1495.945585
Mauritania,68295.62213,69983.46461,71772.10543,73807.76204,75888.19911,78235.15179,80697.46861,83357.56123,86198.92344,89230.73975
Mauritius,47050.09004,47461.31774,47897.83475,48329.20073,48750.54577,49119.97574,49501.26832,49851.50889,50195.28561,50494.44503
Mexico,2777823.175,2827522.053,2881443.374,2940442.085,3002379.777,3066736.38,3132567.69,3200122.593,3269288.412,3339289.403
Micronesia (country),2740.291792,2758.600532,2775.63876,2793.242545,2812.187181,2830.720577,2849.159264,2867.963672,2885.86686,2903.802307
Moldova,154610.2684,154064.6587,153690.231,153520.2487,153361.4121,153251.1946,153199.5738,153061.0405,153018.9451,153070.5366
Mongolia,88369.62084,90626.38448,92870.89191,94943.51954,96879.88581,98730.1405,100416.1546,102013.8437,103553.3907,105027.7168
Montenegro,18200.91341,18283.94837,18355.02336,18420.65824,18472.42966,18506.97379,18538.89481,18575.17613,18574.4884,18585.08809
Morocco,1717635.347,1746061.138,1773256.726,1799611.766,1822102.418,1841268.85,1857583.665,1871572.479,1882682.542,1891537.018
Mozambique,566873.4008,584682.873,604289.6069,626328.7784,650132.6326,675703.8241,703321.18,733308.9344,765511.5818,800217.5996
Myanmar,993114.2054,1007473.718,1024710.358,1043287.412,1063507.185,1083980.429,1105659.254,1128180.298,1151001.873,1175285.966
Namibia,55364.45,56054.88335,57004.94279,58157.68778,59444.93168,60856.73142,62335.90906,63980.69863,65689.04075,67635.83036
Nepal,810910.7933,830463.5676,850466.524,868971.8282,885763.9596,901042.3193,914797.5004,927470.4083,937825.5446,947763.4861
Netherlands,702145.5883,706195.1224,709816.6919,713938.7223,718064.9525,721867.2771,726513.0339,730541.4988,735130.896,739102.7896
New Zealand,160055.8299,159943.3867,160360.851,161188.3579,161930.6897,162650.851,163483.686,164470.8622,165481.5812,166605.4989
Nicaragua,134623.9446,137236.5523,140049.3584,143101.8046,146147.8047,149139.1829,152140.3347,155214.3767,158445.12,161725.5121
